org_company_name;org_domain;org_category_list;org_category_group_list;org_uuid
Avake Technology;avake.com;Information Technology;Information Technology;05804c04-32cd-38e8-4a32-287d951db80e
SuggestionBox.com;suggestionbox.com;Collaboration,CRM,Customer Service;Information Technology,Sales and Marketing,Software;058d6eef-7692-0db8-3810-4f71612e58b3
Truaxis;truaxis.com;E-Commerce,Marketplace,Online Portals;Commerce and Shopping,Internet Services;05aeea6a-1544-5160-5d98-8a0b577b2815
Pathable;pathable.com;Event Management,Events,Mobile,Web Hosting;Events,Internet Services,Media and Entertainment,Mobile;05b6e129-0e53-bc4b-718d-74c5b5d4e0a5
Elite Document Solutions;elitedocsllc.com;Ediscovery,Legal;Internet Services,Professional Services;05d3e0b8-00d2-f4fd-0477-b6a8a8b67720
Presdo;presdo.com;Events,Real Time,Social Network;Events,Internet Services,Media and Entertainment;062b54c7-071e-fc19-a490-f4ccdd9094e0
Echo360;echo360.com;EdTech,Education,Higher Education;Education,Software;06306ced-a168-dd95-a203-5e2658ac3e70
Door64;door64.com;Events,Information Services,Recruiting;Events,Information Technology,Media and Entertainment,Professional Services;0691eb7c-1631-8f4e-dfda-005cf27518ad
Mozeo;mozeo.com;Internet,Marketing,Mobile Advertising;Advertising,Internet Services,Sales and Marketing;069497a2-e31b-9144-19cc-256070c79799
The Point;thepoint.com;E-Commerce,Marketplace,Web Browsers;Commerce and Shopping,Internet Services,Software;06d8361d-7a75-4779-d31c-c1384dec1a8c
SiteRapture;siterapture.com;Tutoring,Web Hosting;Education,Internet Services;07000c93-75a3-aed5-5e4a-bf8c8151b974
Squrl;squrl.com;Information Technology,Search Engine,Video;Information Technology,Internet Services,Media and Entertainment,Video;073e10df-3c6b-4f19-4d80-94ee8bfbb4c9
Yield Software;yieldsoftware.com;Semantic Search,SEO,Software;Internet Services,Sales and Marketing,Software;0740db0a-005b-4961-d28b-cff376df3957
Muzeview;muzeview.com;Consulting,Market Research,Professional Services;Data and Analytics,Design;07852cf9-e3ae-6c1d-bc79-5d23923a4ed6
Ninua;ninua.com;Apps,News,Social Bookmarking;Apps,Content and Publishing,Media and Entertainment,Software;07d161b3-f95c-ec25-95af-0fb9749bde02
Interactive Buzz;interactivebuzz.com;Advertising,Apps,Blogging Platforms,Direct Marketing,Internet,Mobile,Wireless;Advertising,Apps,Content and Publishing,Hardware,Internet Services,Media and Entertainment,Mobile,Sales and Marketing,Software;086fc9bb-216a-a2fc-07ee-171c98dd62ab
Simeio Solutions;simeiosolutions.com;Security;Privacy and Security;08bf643e-9121-686e-0e74-c7a0946ea2d5
Readdle;readdle.com;Enterprise Software,iOS,Mobile;Mobile,Platforms,Software;08d0a1b8-d1e5-91e0-7bed-4130e1732f41
Angstro;angstro.com;Enterprise Software,Facebook,Social Network;Internet Services,Platforms,Software;091786bc-920e-e582-8e9e-ce72234f22c9
Planetary Power, Inc.;planetarypower.com;Energy,Energy Efficiency,Telecommunications;Energy,Hardware,Sustainability;093488fd-ffe4-7c66-e87d-653a5401b1c1
Jivox;jivox.com;Advertising,Artificial Intelligence,Big Data,Digital Marketing,Machine Learning,Mobile Advertising,Personalization,Social Media Advertising,Video Advertising;Advertising,Artificial Intelligence,Data and Analytics,Sales and Marketing,Science and Engineering,Software;099972bb-fb62-dcd8-0e3e-d4b9adeacb40
OGSystems;ogsystems.com;Software,Task Management;Software;09d2dc82-cab5-d706-f5a1-05ac774342ae
Unitymix;unitymix.com;Social Media;Internet Services,Media and Entertainment;0a0fceaf-ad7f-9c91-86a4-6f18f1224ad5
360Fresh;360fresh.com;Analytics,Medical;Data and Analytics,Health Care;0a673066-9e48-4c4e-6bfb-77dee238f17e
RentMineOnline;rentmineonline.com;Apps,Finance,Internet,Lead Generation,Real Estate;Apps,Financial Services,Internet Services,Real Estate,Sales and Marketing,Software;0a805560-8fa2-2f85-7e11-486ecfbe07d4
SEO Intelligence;seointelligence.com;Advertising,Analytics,Search Engine,Semantic Search,SEO;Advertising,Data and Analytics,Internet Services,Sales and Marketing;0abba9ce-c248-013a-6759-a20c9a87bd31
Minor Studios;minorstudios.com;Software;Software;0acc34c1-3ba1-b3a0-16a1-26bc18748620
Cloudmeter;cloudmeter.com;Analytics,Big Data,Enterprise Software,Real Time,Software;Data and Analytics,Software;0ad1c238-f8d4-59f2-9cb4-7ec1e3bd51f7
COREmatica;corematica.com;Information Technology;Information Technology;0aea297f-0bde-468f-8270-480e61c50fbc
Replenish;replenishinc.com;Biotechnology,Developer Platform,Health Care;Biotechnology,Health Care,Science and Engineering,Software;0b07fca1-dba2-1309-e9f4-4e0885349239
Elanti Systems;elantisystems.com;Software;Software;0b6cc64a-576e-292b-2e96-73063cff7c41
Savings.com;savings.com;Coupons,E-Commerce Platforms,Grocery,Shopping;Commerce and Shopping,Food and Beverage,Internet Services;0b8dcc2b-8f12-a152-3d5d-4e676fbdc6f2
Escendo;escendo.com;Analytics,Business Intelligence,Software;Data and Analytics,Software;0bbb4c94-39b8-2e55-1b7e-f19719cc24ac
Schooner Information Technology;schoonerinfotech.com;Database,Enterprise Software,Information Technology;Data and Analytics,Information Technology,Software;0bc5e4ba-9c58-be60-5a9b-c08fc4356c62
Bigtime Wireless;bigtimewireless.com;Consumer Electronics,E-Commerce,Mobile,Mobile Devices,Recycling,Wireless;Commerce and Shopping,Consumer Electronics,Hardware,Mobile,Sustainability;0c18ce1d-230d-a89f-660e-af76ebdf2b02
Oculis Labs;oculislabs.com;Cyber Security,Mobile,Security;Information Technology,Mobile,Privacy and Security;0c2b029a-1ecc-b024-62f6-cf3d584ba1e3
Appature;appature.com;Enterprise Software,Health Care,Web Apps;Apps,Health Care,Software;0c685bfb-5f5e-570c-1b8b-aa4c5280a75c
Study Notes;apstudynotes.org;Education,Mobile;Education,Mobile;0c8dad9e-0c54-f7ce-0463-a1be93876cd3
Metabahn;metabahn.com;Mobile,Web Development;Mobile,Software;0cb1d60a-3893-2cf3-e0de-4b9f13f1acf1
Sporcle;sporcle.com;Social Media,Video Streaming;Content and Publishing,Internet Services,Media and Entertainment,Video;0cc7852b-0213-cecf-e84e-9e09ea6cd415
MultiPhy;multi-phy.com;Data Center,Infrastructure,Semiconductor;Hardware,Information Technology,Science and Engineering;0d49da10-ba7c-f7d5-106a-c1e6418b335b
nSphere;nsphere.net;Enterprise Software,Information Technology,Local;Information Technology,Software;0d6058d1-2a3d-903c-a79d-9855391af83f
MyWants;getmywants.com;Content,Location Based Services,Small and Medium Businesses;Data and Analytics,Internet Services,Media and Entertainment,Navigation and Mapping;0d6954a9-3a6a-2825-8882-ba1420548e54
NorthPage;northpage.com;Enterprise Software,SEM;Advertising,Internet Services,Sales and Marketing,Software;0da3b0f8-9a69-2c38-87fe-941e18798400
Future Delivery;viralogy.com;Delivery Service,Social Media,Social Network;Internet Services,Media and Entertainment,Transportation;0da8e882-70f8-cb5a-23b6-41aa34e09610
SeaMicro;seamicro.com;Data Center,Virtualization,Web Hosting;Hardware,Information Technology,Internet Services,Software;0de93899-2ee5-d3bd-9d4a-67790c783f59
CareFlash;careflash.com;Private Social Networking,Social Media;Community and Lifestyle,Internet Services,Media and Entertainment;0e174c4c-08d5-60bc-2b58-2fe14744c4aa
Blogged;blogged.com;Content,Online Portals,Social Network;Internet Services,Media and Entertainment;0e6ba27a-8600-b927-d4f2-fb30911003a1
A2Zapps.com;a2zapps.com;Cloud Computing,CRM,Enterprise Software,Internet,Private Social Networking,Project Management,SaaS,Software,Web Development;Community and Lifestyle,Information Technology,Internet Services,Sales and Marketing,Software;0e6fde56-e77f-42d9-ab82-b8a1d27432e7
GeriCareFinder;gericarefinder.com;Health Care,Professional Services,Retirement,Search Engine;Health Care,Internet Services;0f1e3681-944f-31e4-9194-cb35f202107e
branchnext;branchnext.com;Hardware,Software;Hardware,Software;0f404f69-061f-9689-1083-c976beb207df
Society of Digital Agencies;sodaspeaks.com;Advertising,Information Technology,Marketing;Advertising,Information Technology,Sales and Marketing;0f86ddc9-5152-7609-79d7-2468d6540e95
AirKast;airkast.com;Mobile,Sports,Video;Media and Entertainment,Mobile,Sports,Video;0f8b74c8-3def-32ee-28a0-b3f530553c48
iPling;ipling.com;Location Based Services,Mobile;Data and Analytics,Internet Services,Mobile,Navigation and Mapping;0fb4ca4c-5f52-f16a-d7e4-6a5aa86ea5a6
Girls in Tech;girlsintech.org;Association,EdTech,Education,Enterprise Software,Women's;Education,Software;0fc605aa-0f8f-f0e0-794c-07c66d03117e
MyDogSpace;mydogspace.com;Photography,Social Network,Video;Content and Publishing,Internet Services,Media and Entertainment,Video;0fd75df6-559f-6d61-21de-2dd862931768
Online Profile Pros;onlineprofilepros.com;Business Development,Personal Branding,Photo Sharing,Photography,Social Media;Content and Publishing,Internet Services,Media and Entertainment,Sales and Marketing;100ba863-1c69-899c-5eb9-2ff0aaaaa19c
Vertical Knowledge;vertical-knowledge.com;Analytics,Data Mining;Data and Analytics,Information Technology;10123a5d-c86f-3d51-7d11-85b4aee3dbf3
Control's Force, Ltd;controlsforce.com;Big Data,Billing,Business Intelligence,Compliance,Enterprise Software,Operating Systems,Risk Management,Transaction Processing;Data and Analytics,Financial Services,Payments,Platforms,Professional Services,Software;10719c16-95fb-dc57-e84d-dd943b14d67c
Simbol Materials;simbolmaterials.com;Advanced Materials,Information Technology,Management Information Systems;Information Technology,Manufacturing,Science and Engineering;10762a6b-16f9-7977-8faf-0e8311b9f606
Brightpearl;brightpearl.com;Accounting,CRM,ERP,Retail Technology,Small and Medium Businesses,Warehousing;Commerce and Shopping,Financial Services,Hardware,Information Technology,Professional Services,Sales and Marketing,Software,Transportation;109c14dd-e3b9-c94b-6dd4-b6927d458f81
Recognition Robotics;recognitionrobotics.com;Manufacturing,Robotics;Hardware,Manufacturing,Science and Engineering,Software;10b8b6e1-767f-3aa4-9e09-cb0f4a00677a
ieIMPACT Appraisal Data Entry Service;ieimpact.com;Document Management,Real Estate,Service Industry;Information Technology,Real Estate,Software;10dc8ce2-cad7-65cc-c5c7-554c22f2a94b
OpenX;openx.com;Advertising,Advertising Platforms,Enterprise Software,Internet;Advertising,Internet Services,Sales and Marketing,Software;11352c70-21bb-b546-e9b2-723a4be03075
Collective[i];collectivei.com;Analytics,Big Data,Business Intelligence,Collaboration,SaaS;Data and Analytics,Software;1135bb09-eef3-854f-1983-a53a9a7777d3
SWRemote;swremote.com;Energy,Mobile;Energy,Mobile;1140f877-66ce-6944-da8c-ef08e361e5e9
RoboteX;robotex.com;Consumer Electronics,Hardware,Robotics;Consumer Electronics,Hardware,Science and Engineering,Software;1184d2b5-220d-8e26-d457-88b19afac87e
SustainX;sustainx.com;Clean Energy,Electronics,Energy,Energy Storage;Consumer Electronics,Energy,Hardware,Sustainability;12ff8481-a47e-7a36-ff2c-78348f441078
Main Street Computing;mainstreetcomputing.com;Android,iOS,Software,Web Development;Mobile,Platforms,Software;131e7e3d-a514-b16f-4c40-138445bb7f79
PBXPlus;pbxplus.com;Messaging,Public Relations,Speech Recognition;Data and Analytics,Information Technology,Internet Services,Messaging and Telecommunications,Sales and Marketing,Software;1348bdc5-ebf6-7295-bb5e-a2497470c648
The MidWasteland;themidwasteland.com;Digital Media,Social Media;Internet Services,Media and Entertainment;1366afb7-cc46-92a4-81c6-2b4cf4a9c9d3
Nibea;nibea.com;Cloud Computing,Internet,Web Hosting;Internet Services,Software;13874750-eae5-00fc-d85a-e10535fc1aa3
Abaq.us;abaq.us;Software;Software;13ad989e-9ef3-9396-7ddc-aa3f71e5839e
MadeIt.com;madeit.com;Events,IaaS,Web Hosting;Events,Internet Services,Media and Entertainment;13e1641f-e17d-d149-2a3e-f6c2501775bc
Exponential Entertainment;exponentialent.com;Internet,Real Estate;Internet Services,Real Estate;13e5ab96-3fd9-12da-4279-03b9b97fb3b7
True Interactive;trueinteractive.com;Advertising,Marketing Automation,SEM;Advertising,Internet Services,Sales and Marketing,Software;13f717db-289d-916e-de24-d1f3c8a76d87
SynapticMash;synapticmash.com;Enterprise Software,Market Research,Marketplace;Commerce and Shopping,Data and Analytics,Design,Software;140a7203-17d8-8cf0-462c-9fa98e758c7b
GlowTouch Technologies;glowtouch.com;Cloud Infrastructure,Information Technology,Outsourcing;Hardware,Information Technology,Internet Services,Professional Services;146206a3-d556-f0e6-1d86-d8b6caef8ac1
ResumeBucket.com;resumebucket.com;Employment,Human Resources,Internet,Recruiting;Internet Services,Professional Services;14d32c31-5147-1909-bb5a-2fa6c576dd7c
Mo'Blast;moblast.com;Mobile;Mobile;15390588-7fa9-9d32-e91e-3a9cc2dc0ceb
Cambridge Semantics;cambridgesemantics.com;Software;Software;15553aad-9bba-2d82-399b-88686f4b56b6
Xcellent Creations, Inc.;;Apps,Software;Apps,Software;1624d559-e9a1-4fb9-f15f-8ced9f054e93
Britely;britely.com;Content,Web Browsers,Web Hosting;Internet Services,Media and Entertainment,Software;16965f65-58ad-9273-9c00-b004d1c6f2ca
NixiHost.com;nixihost.com;Web Browsers,Web Development,Web Hosting;Internet Services,Software;172aa207-676e-edc8-f3d5-0aacd34121a7
CoSo Cloud;connectsolutions.com;Collaboration,Enterprise Software,SaaS,Video,Video Streaming,VoIP;Content and Publishing,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Software,Video;17473d7b-84be-91d9-39a3-9c94cc0b5318
Skygone;skygoneinc.com;Cloud Computing,Geospatial,Web Hosting;Data and Analytics,Internet Services,Navigation and Mapping,Software;1749288f-680b-2c0d-78ba-7d213fad50fb
Webepags;webepags.com;Advertising,Semantic Web;Advertising,Internet Services,Sales and Marketing;1757e233-7dd5-a0d4-116f-6a043419653a
Oomph, Inc.;oomphinc.com;Internet,Mobile;Internet Services,Mobile;17aa9b6d-b174-4766-47ec-e81ad41dd987
Fan Media Network;fanmedianetwork.com;News,Social Network,Social News;Content and Publishing,Internet Services,Media and Entertainment;1805a379-8b19-0d0c-48c0-b37d8d1adafe
SyncTV;synctv.com;Hardware,Software,Video,Video Streaming;Content and Publishing,Hardware,Media and Entertainment,Software,Video;1840ecce-1942-b848-e076-49390d708ba1
CYPHER LEARNING;cypherlearning.com;E-Learning,Education,Universities;Education,Software;1842fa24-a468-46ce-5dd6-8766de6d2aae
Vitalist;vitalist.com;Internet,Software,Task Management;Internet Services,Software;18d6ef5e-a0d7-637a-3e79-a220eec273fb
Blue Campaign Solutions;bluecampaigns.com;Non Profit,Politics,Software,Web Hosting;Government and Military,Internet Services,Software;19d0497f-8842-41db-205b-8058e1e525b1
i2we;i2we.com;Social Media;Internet Services,Media and Entertainment;1b2349c6-2675-bcab-1058-24b1ea484fb5
TripKick;tripkick.com;Leisure,Search Engine,Tourism,Travel;Community and Lifestyle,Internet Services,Travel and Tourism;1b7a7e6a-4b5e-304c-1bc3-c502090f5d62
Unidesk;unidesk.com;Information Technology,Software,Virtualization;Hardware,Information Technology,Software;1b8e7a2d-441e-22c5-7d6d-a66e811c7ac5
Validas;validas.com;Apps,Billing,Mobile,Wireless;Apps,Hardware,Mobile,Payments,Software;1bde3897-09c6-eafb-7075-6b4246fb8d75
Humansized;humansized.com;Software;Software;1bef8888-1bcf-01ce-2084-d9ca85be9d3d
Onit;onit.com;Business Intelligence,Enterprise Applications,Enterprise Software;Apps,Data and Analytics,Software;1c292d32-e29d-28b6-413f-20a7af50f799
Defense Point Security;defensepointsecurity.com;Cyber Security;Information Technology,Privacy and Security;1cc15786-d279-bab5-1395-102d9e358965
Cachinko;cachinko.com;Human Resources,Recruiting,Social Network;Internet Services,Professional Services;1ce44484-6411-2df8-73dc-82873e67605c
Cox Digital Solutions;coxdigitalsolutions.com;Ad Network,Advertising,Mobile;Advertising,Mobile,Sales and Marketing;1ce69d73-0daa-0cd7-6999-9b025c7bad30
Innowera;innowera.com;Computer,Software;Consumer Electronics,Hardware,Software;1d5bcadc-d954-4402-a0fa-a104d0467157
Platformic;platformic.com;Content,SaaS,Software,Video Streaming;Content and Publishing,Media and Entertainment,Software,Video;1d6cc258-c793-fedd-bb8a-0a0194a0800d
RatingBug;ratingbug.com;Developer Tools,Software;Software;1d9a4b8e-ac06-e7c2-20dc-ea42b5162828
GiGHive;gighive.com;Music,Web Hosting;Internet Services,Media and Entertainment,Music and Audio;1dca134d-9e80-06ef-5a64-f2fc7c701a09
M-SIX;m-six.com;Software;Software;1de90972-7f1a-0160-04af-82960d081c60
SuperSecret;supersecret.com;Gaming,Internet,Virtual Reality;Gaming,Hardware,Internet Services,Software;1e37ef03-85f0-6055-89a1-14b544e00f19
Ayrstone Productivity;ayrstone.com;Agriculture,Mobile;Agriculture and Farming,Mobile;1e99d853-0deb-7821-03ae-7d1119605701
Amplifier Strategies;amplifierstrategies.com;Enterprise Software,Knowledge Management,Social Entrepreneurship;Community and Lifestyle,Software;1f2da6d9-d05c-befb-bc89-69a66ded0d02
BioData Inc.;labguru.com;Biotechnology,Electronics,Information Technology;Biotechnology,Consumer Electronics,Hardware,Information Technology,Science and Engineering;1f408ff9-c607-66d8-6298-679bb992d500
CrowdVine;crowdvine.com;Communities,Events,Social Network;Community and Lifestyle,Events,Internet Services,Media and Entertainment;1f92e027-8253-fa90-bb4c-e912c165ddb6
Analytics Demystified;analyticsdemystified.com;Analytics,EdTech,Education,Internet;Data and Analytics,Education,Internet Services,Software;1fa0aaff-6eaf-6ed7-71f8-f134202b6d18
Base22;base22.com;Consulting,Semantic Web,Web Development;Internet Services,Software;1faab840-9f05-5f6e-e85b-5676483a21d1
iZoca;izoca.com;Advertising,Communities,Internet,Social Media;Advertising,Community and Lifestyle,Internet Services,Media and Entertainment,Sales and Marketing;1ff9e9cd-5e4e-e6a2-e25e-d03030557950
imthemusic;imthemusic.com;Apps,Content,Law Enforcement,Music;Apps,Government and Military,Media and Entertainment,Music and Audio,Privacy and Security,Software;20e2346c-0322-0798-4358-8f418fa922e1
Blisstering Solutions;blisstering.com;Software;Software;211a2f3c-b025-02f2-2c2d-aff7cfd9fd2a
Digital Air Strike;digitalairstrike.com;Automotive,Digital Media,Social Media Management;Internet Services,Media and Entertainment,Sales and Marketing,Transportation;212805c0-e6a9-85fe-207e-729980b3abc5
Streamlined Record Retrieval;streamlinedrecordretrieval.com;Billing,Communities,Legal;Community and Lifestyle,Payments,Professional Services,Software;213f414b-b82c-c859-94ae-04a39d7c9aab
CloudLock;cloudlock.com;Cloud Security,Enterprise Software,IT Management,SaaS;Information Technology,Privacy and Security,Software;217d4f69-1949-dd92-4b84-7044505c3ee6
Zemitek;zemitek.com;Information Services,Information Technology;Information Technology;218c7da6-5b7c-41c3-8f91-fd3e8fccf4a5
SAIFE, Inc.;saife.io;Cyber Security,Internet of Things,Software;Information Technology,Internet Services,Privacy and Security,Software;21c0ec75-b61b-79dc-678c-5edd74f0fd0e
Q Digital Studio;qdigitalstudio.com;Digital Media,Web Design,Web Development;Design,Media and Entertainment,Software;21d0ceb4-faed-b88a-4fff-31bd8bd0a6a1
Azuki Systems;azukisystems.com;Enterprise Software,Service Industry,Video Streaming;Content and Publishing,Media and Entertainment,Software,Video;22182a17-da49-123e-cb30-0889ecfcbb88
JoVE (Journal of Visualized Experiments);jove.com;EdTech,Education,Universities;Education,Software;22c8ee7e-dc2e-d6cf-a186-5ed703f5a164
Yamli;yamli.com;Language Learning,Search Engine;Education,Internet Services;22ce7305-89d2-537a-135c-812326616e89
Qbiki;seattleclouds.com;Software;Software;2313cb64-c6d2-c3c6-9b53-664eb00ff906
Koombea;koombea.com;Software,Web Development;Software;23a0a7eb-3971-0ec4-bf9c-95e91a33a811
Market7;market7.com;Advertising,Collaboration,Enterprise Software,Product Design,SaaS,Software,Video;Advertising,Design,Media and Entertainment,Sales and Marketing,Software,Video;23a3b76e-65e3-f0df-fa8e-c4d2ce5244e7
Careerminds Group;careerminds.com;Consulting,E-Learning,Human Resources;Education,Software;23ee4b3a-8d9f-9a20-d43e-da4e526d1c37
RingBranch;ringbranch.com;Mobile,VoIP;Information Technology,Internet Services,Messaging and Telecommunications,Mobile;23eec8d0-9021-d420-e481-483ace934c8e
zintin;zintin.com;iOS,Mobile,Photography,Social Media;Content and Publishing,Internet Services,Media and Entertainment,Mobile,Platforms,Software;25274d81-02aa-107b-415b-fdb3e2300d8f
Investing Minds;investingminds.com;Collaboration,Finance,Financial Services,Stock Exchanges,Web Hosting;Financial Services,Internet Services,Lending and Investments;255d0a82-2595-bea0-58c5-a673ea628140
Whiskey Media;whiskeymedia.com;Digital Media,Video Games,Web Development;Gaming,Media and Entertainment,Software;255e3e92-c052-c12d-5d67-7db575966b03
Extreme Enterprises;eeihq.com;Enterprise Software,Internet,Software;Internet Services,Software;25bd7f07-beb2-6a6a-03cc-cc856ca176cb
Fourth Wall Studios;fourthwallstudios.com;Digital Entertainment,Gaming,Internet;Gaming,Internet Services,Media and Entertainment;25e06ed4-e334-9ad9-a316-03ea701d716d
Tingz;tingz.net;Developer Tools,Social Media,Software;Internet Services,Media and Entertainment,Software;260fe98f-e19b-3c2a-a928-c7688920b12a
Fremont Forward;fremontforward.com;Developer Tools,Music;Media and Entertainment,Music and Audio,Software;26b82a48-7eb9-ac08-d871-be5d8bc3929e
r3r;r3r.com;Analytics,Blogging Platforms,Consulting,CRM,Lead Generation,Lead Management,Marketing Automation,Outsourcing,Project Management;Content and Publishing,Data and Analytics,Information Technology,Media and Entertainment,Professional Services,Sales and Marketing,Software;26c76cbb-8330-c532-da7f-f19b16319107
Scavado;scavado.com;Career Planning,Human Resources,Recruiting,Search Engine,Software;Internet Services,Professional Services,Software;26d5b991-fe94-c5da-850b-522f1dabffd6
Fidelis PPM;getfidelis.com;Automotive,Loyalty Programs,Software;Sales and Marketing,Software,Transportation;26eed29a-a04a-0787-9752-5b30e2123b8d
Small Screen, Inc.;smallscreennetwork.com;Advertising,Mobile,Publishing,Social Media Marketing,Video;Advertising,Content and Publishing,Media and Entertainment,Mobile,Sales and Marketing,Video;27017ec4-189b-a221-bd98-b4782f20d4e3
Buck;gobuck.com;Credit Cards,Mobile,Payments;Financial Services,Lending and Investments,Mobile,Payments;272e546f-632c-705d-7cf0-2bba67ab2c35
Disqus;disqus.com;Blogging Platforms,Social Media,Social Network;Content and Publishing,Internet Services,Media and Entertainment;27d01641-3631-8836-64da-b3148580c4df
Topspin Media;topspinmedia.com;Art,Music,Software;Media and Entertainment,Music and Audio,Software;27dbc2c2-4f8f-8d26-74a2-d97278c6d630
Data Profits;data-profits.com;Retail Technology,SaaS,Software,Supply Chain Management;Commerce and Shopping,Hardware,Software,Transportation;2855e31a-e992-9cdb-d789-30595b444756
